file	line	column	rule	message
docker/frontend/src/lib/api/workflows.ts	24	24	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/workflows.ts	25	29	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/workflows.ts	42	30	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/workflows.ts	105	35	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/api/workflows.ts	106	35	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/auth/guards.ts	18	12	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/lib/auth/guards.ts	34	12	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/lib/auth/guards.ts	49	12	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/lib/auth/guards.ts	68	12	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/lib/auth/guards.ts	88	51	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/auth/post-login-init.ts	22	54	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/auth/post-login-init.ts	31	49	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/auth/post-login-init.ts	37	43	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/currency.ts	101	12	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/lib/currency.ts	173	1	import/no-anonymous-default-export	Assign object to a variable before exporting as module default
docker/frontend/src/lib/device/fingerprint.ts	27	12	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/lib/device/fingerprint.ts	47	12	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/lib/device/fingerprint.ts	61	12	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/lib/device/fingerprint.ts	103	12	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/lib/error-handling.ts	14	13	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/error-handling.ts	27	41	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/error-handling.ts	89	47	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
